# Cropster Roast Export (SYNTHETIC)
# Batch: R-2026-003
# Green: Huila Pink Bourbon
# Machine: Loring-S15
# Roaster: Sam
# Date: 2026-02-05
# Unit: C
time_s,bean_temp,env_temp,event
0,197.6,211.5,Charge
2,194.5,208.8,
4,191.4,206.5,
6,188.4,201.9,
8,185.2,199.6,
10,181.6,196.3,
12,178.3,192.5,
14,174.9,189.2,
16,171.9,186.4,
18,168.5,182.2,
20,165.4,179.6,
22,162.4,176.1,
24,158.7,172.4,
26,155.1,168.8,
28,152.0,165.9,
30,148.5,162.6,
32,145.3,159.5,
34,142.7,156.1,
36,139.1,154.0,
38,135.4,149.9,
40,132.7,147.0,
42,129.6,143.4,
44,125.9,139.9,
46,122.6,136.8,
48,119.4,133.5,
50,116.3,129.6,
52,113.1,127.4,
54,109.9,125.1,
56,106.7,119.9,
58,103.4,117.8,
60,100.2,114.3,
62,96.7,110.7,
64,92.9,107.5,
66,90.0,103.5,
68,91.9,105.9,
70,92.9,107.5,
72,94.3,108.2,
74,94.9,108.8,
76,95.7,109.8,
78,97.2,111.0,
80,97.8,112.5,
82,98.5,112.2,
84,99.5,113.8,
86,100.3,113.8,
88,100.8,115.1,
90,100.9,114.8,
92,102.0,115.0,
94,102.8,116.8,
96,103.3,116.9,
98,104.3,118.1,
100,105.2,119.8,
102,105.4,119.0,
104,105.9,119.5,
106,107.4,121.9,
108,107.4,121.4,
110,107.8,122.4,
112,108.8,122.9,
114,109.4,123.1,
116,109.7,123.7,
118,110.7,125.2,
120,111.0,125.4,
122,111.5,125.5,
124,112.3,126.3,
126,113.0,127.0,
128,113.2,127.0,
130,114.1,128.8,
132,114.5,128.5,
134,115.8,129.3,
136,115.5,129.3,
138,116.5,130.8,
140,116.7,131.0,
142,117.2,131.2,
144,118.0,131.7,
146,118.6,132.6,
148,119.2,132.5,
150,119.5,132.9,
152,119.8,134.1,
154,120.3,134.1,
156,121.1,135.2,
158,121.6,136.1,
160,122.3,136.6,
162,122.6,136.6,
164,123.3,138.1,
166,123.9,138.2,
168,124.0,137.9,
170,124.1,138.4,
172,124.7,138.9,
174,125.1,138.8,
176,126.4,140.4,
178,126.3,140.2,
180,127.3,140.5,
182,127.6,141.5,
184,128.4,142.2,
186,128.7,142.5,
188,128.9,142.2,
190,129.3,143.2,
192,129.9,143.8,
194,130.4,144.4,
196,130.6,144.2,
198,131.2,145.5,
200,132.1,145.6,
202,131.8,145.7,
204,132.7,147.3,
206,132.9,146.6,
208,133.6,147.4,
210,134.2,148.7,
212,134.5,148.3,
214,135.1,149.0,
216,135.0,149.1,
218,136.1,150.6,
220,136.2,149.3,
222,136.9,150.6,
224,137.3,150.8,
226,137.0,150.6,
228,137.9,151.6,
230,138.6,152.3,
232,139.4,153.5,
234,139.5,153.1,
236,139.9,154.0,
238,140.0,154.1,
240,141.1,154.8,
242,141.6,155.7,
244,141.6,156.3,
246,142.0,156.1,
248,142.1,155.8,
250,143.1,157.1,
252,144.0,157.7,
254,144.0,158.1,
256,144.5,158.9,
258,144.8,158.4,
260,144.8,158.7,
262,145.8,160.3,
264,145.6,159.4,
266,146.3,160.4,
268,146.8,160.4,
270,147.4,161.1,
272,147.7,161.5,
274,148.1,163.0,
276,148.2,162.1,
278,148.5,162.3,
280,149.3,163.1,
282,149.5,163.4,
284,149.8,164.0,
286,150.2,164.3,
288,150.8,165.6,
290,150.9,165.0,
292,151.4,166.0,
294,151.7,165.9,
296,152.6,166.8,
298,153.1,166.5,
300,153.9,167.8,
302,153.4,167.4,
304,154.0,167.9,
306,154.8,168.0,
308,154.9,169.3,
310,155.3,169.2,Dry End
312,156.2,170.0,
314,156.1,170.0,
316,156.3,170.2,
318,156.7,170.8,
320,157.5,171.0,
322,157.9,171.5,
324,157.8,172.0,
326,158.3,172.4,
328,159.1,173.0,
330,159.5,173.3,
332,159.6,173.3,
334,160.3,174.3,
336,160.7,175.2,
338,160.5,174.1,
340,161.3,175.9,
342,161.8,176.2,
344,162.0,175.8,
346,162.0,176.3,
348,162.8,176.2,
350,163.5,176.8,
352,164.1,177.5,
354,163.5,177.3,
356,165.1,179.0,
358,164.5,178.3,
360,165.4,179.5,
362,165.9,179.0,
364,166.2,180.4,
366,166.4,179.8,
368,166.4,180.2,
370,167.3,181.1,
372,167.3,180.9,
374,167.2,180.7,
376,169.0,182.6,
378,168.8,182.8,
380,169.5,183.7,
382,169.2,183.4,
384,170.1,183.7,
386,170.5,184.2,
388,170.9,184.5,
390,170.9,185.1,
392,171.0,184.2,
394,171.6,186.1,
396,171.5,185.3,
398,172.0,185.6,
400,172.8,186.9,
402,172.9,187.3,
404,173.5,187.6,
406,173.8,188.3,
408,174.7,188.8,
410,174.9,189.4,
412,175.0,189.5,
414,175.7,189.6,
416,175.5,190.1,
418,176.0,190.1,
420,176.7,190.7,
422,176.5,190.1,
424,177.1,191.0,
426,177.2,191.5,
428,177.9,191.4,
430,178.7,192.9,
432,178.4,192.6,
434,179.1,193.2,
436,179.1,192.3,
438,179.4,193.4,
440,179.8,194.0,
442,180.8,194.5,
444,181.4,195.4,
446,181.3,194.3,
448,181.3,195.6,
450,182.1,195.8,
452,182.2,196.5,
454,182.8,196.1,
456,183.0,197.3,
458,183.4,197.3,
460,183.8,198.2,
462,183.9,197.5,
464,184.3,198.0,
466,184.3,199.2,
468,185.0,198.7,
470,185.1,198.8,
472,185.8,199.7,
474,185.9,199.5,
476,186.5,201.0,
478,187.0,201.7,
480,186.9,200.6,
482,187.4,200.7,
484,187.7,202.2,
486,188.5,202.9,First Crack
488,189.1,203.4,
490,189.2,203.7,
492,189.2,202.9,
494,190.0,204.0,
496,189.6,203.1,
498,190.7,204.2,
500,190.6,205.0,
502,190.4,204.1,
504,192.1,207.0,
506,192.2,206.2,
508,191.9,205.6,
510,192.5,206.8,
512,192.8,207.5,
514,193.2,207.4,
516,193.1,206.6,
518,193.7,207.8,
520,194.3,208.9,
522,194.6,208.4,
524,195.2,208.9,
526,195.2,209.6,
528,196.1,210.2,
530,195.7,209.3,
532,196.3,210.2,
534,196.1,209.8,
536,196.6,210.7,
538,197.6,211.6,
540,197.4,211.8,
542,198.1,212.4,
544,198.3,211.6,
546,198.4,212.5,
548,198.9,213.2,First Crack End
550,199.2,213.4,
552,199.5,213.9,
554,200.2,214.0,
556,200.5,214.1,
558,200.5,214.9,
560,200.8,214.3,
562,201.4,214.5,
564,201.6,216.1,
566,202.3,216.0,
568,203.0,216.9,
570,202.9,216.3,
572,203.0,216.5,
574,203.3,216.8,
576,203.5,217.3,
578,203.8,217.9,
580,204.1,217.2,
582,204.6,218.9,
584,204.9,218.4,
586,205.5,219.1,
588,205.6,219.9,
590,206.0,219.9,
592,206.0,219.4,
594,207.1,221.8,
596,207.1,220.8,
598,207.8,221.9,
600,207.9,221.9,
602,208.4,222.9,Drop
